"filename", "language", "Ignore", "Docker", "HTML", "YAML", "JSON", "JSON with Comments", "TypeScript", "Markdown", "MS SQL", "JavaScript", "XML", "TypeScript JSX", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\polymart\.dockerignore", "Ignore", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\chris\Documents\GitHub\polymart\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\chris\Documents\GitHub\polymart\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\chris\Documents\GitHub\polymart\Dockerfile", "Docker", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 34
"c:\Users\chris\Documents\GitHub\polymart\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 49, 130
"c:\Users\chris\Documents\GitHub\polymart\SETUP.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 0, 0, 209, 734
"c:\Users\chris\Documents\GitHub\polymart\components.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\chris\Documents\GitHub\polymart\docker-compose.yml", "YAML", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 105
"c:\Users\chris\Documents\GitHub\polymart\index.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\chris\Documents\GitHub\polymart\package-lock.json", "JSON", 0, 0, 0, 0, 8439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8440
"c:\Users\chris\Documents\GitHub\polymart\package.json", "JSON", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\chris\Documents\GitHub\polymart\public\demo\index.html", "HTML", 0, 0, 823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47, 879
"c:\Users\chris\Documents\GitHub\polymart\public\game\demo\index.html", "HTML", 0, 0, 1344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 156, 1513
"c:\Users\chris\Documents\GitHub\polymart\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-forex-widgets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 559, 0, 0, 0, 0, 37, 48, 644
"c:\Users\chris\Documents\GitHub\polymart\public\widgets\polymart-widgets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 717, 0, 0, 0, 0, 58, 61, 836
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\AccountsAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 401, 0, 0, 0, 0, 30, 102, 533
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\AdminAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 27, 73, 390
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\BillingAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 15, 22, 156
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\BotFeedbackAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 13, 26, 143
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\CommunitiesAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 673, 0, 0, 0, 0, 32, 130, 835
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\CommunityAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 350, 0, 0, 0, 0, 24, 63, 437
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\MarketAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 650, 0, 0, 0, 0, 58, 85, 793
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\Middleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 60, 23, 184
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\Protocol.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 54, 14, 149
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\Registry.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 71, 24, 213
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\Router.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 37, 8, 60
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\SupportAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 12, 15, 82
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\ToolsAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 16, 38, 208
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\UsersAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 8, 10, 59
"c:\Users\chris\Documents\GitHub\polymart\server\PolyAPI\Validator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 112, 20, 255
"c:\Users\chris\Documents\GitHub\polymart\server\PolyEngine\AssetResolver.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 36, 13, 77
"c:\Users\chris\Documents\GitHub\polymart\server\PolyEngine\DataAdapter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 34, 30, 300
"c:\Users\chris\Documents\GitHub\polymart\server\PolyEngine\DataWrapper.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 101, 40, 284
"c:\Users\chris\Documents\GitHub\polymart\server\PolyEngine\ForexSimulation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 55, 45, 397
"c:\Users\chris\Documents\GitHub\polymart\server\PolyEngine\StockData.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 101, 26, 465
"c:\Users\chris\Documents\GitHub\polymart\server\PolyEngine\StockSimulation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 506, 0, 0, 0, 0, 92, 78, 676
"c:\Users\chris\Documents\GitHub\polymart\server\PolyEngine\tick.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 74, 37, 281
"c:\Users\chris\Documents\GitHub\polymart\server\company-data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 25, 35, 470
"c:\Users\chris\Documents\GitHub\polymart\server\db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 4, 40
"c:\Users\chris\Documents\GitHub\polymart\server\schema-market.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 11, 11, 180
"c:\Users\chris\Documents\GitHub\polymart\server\schema-user.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 25, 24, 302
"c:\Users\chris\Documents\GitHub\polymart\server\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 377, 0, 0, 0, 0, 0, 72, 32, 481
"c:\Users\chris\Documents\GitHub\polymart\server\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 444, 0, 0, 0, 0, 49, 50, 543
"c:\Users\chris\Documents\GitHub\polymart\server\tier-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 8, 4, 43
"c:\Users\chris\Documents\GitHub\polymart\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 17, 265
"c:\Users\chris\Documents\GitHub\polymart\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 699, 0, 0, 22, 76, 797
"c:\Users\chris\Documents\GitHub\polymart\src\components\CommunitySidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 4, 11, 136
