"filename", "language", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\polymart\server\api.js", "JavaScript", 188, 0, 13, 31, 232
"c:\Users\chris\Documents\GitHub\polymart\src\pages\ApiDocsPage.tsx", "TypeScript JSX", 0, 111, 3, 3, 117
"Total", "-", 188, 111, 16, 34, 349
